Year,Index
1952,77.8234894645507
1953,82.5561474225969
1954,72.0901587974813
1955,71.5004869141192
1956,74.9435353964716
1957,87.2560079948111
1958,77.9989860036687
1959,80.0395297104847
1960,84.2031109950128
1961,69.8620049374652
1962,61.8932515588012
1963,55.6081333572345
1964,59.5657222254056
1965,59.2105972324941
1966,62.9669364887229
1967,46.8747929789669
1968,51.377300837887
1969,52.4192867040009
1970,54.412980855499
1971,56.4837064485487
1972,49.968955395116
1973,44.71816791396
1974,42.951850777469
1975,42.9755176136647
1976,42.4883715803882
1977,44.9364335902436
1978,54.8507130069238
1979,47.8893902932945
1980,50.3005372895358
1981,36.1510232656639
1982,36.6118224249182
1983,43.8642533587876
1984,35.3469584686611
1985,38.825124409753
1986,42.722347173174
1987,41.2885664350391
1988,38.5718678299486
1989,33.966471597124
1990,37.5954111426124
1991,33.3096269591514
1992,39.9003137786397
1993,34.726379106016
1994,33.980603946932
1995,34.9312535611763
1996,42.0519394144394
1997,39.5056032776477
1998,29.3802726179997
1999,24.1182782000925
2000,34.5748460882915
2001,26.5149127785402
2002,24.0887338446448
2003,26.4950173614609
2004,28.0275593178023
2005,22.1630429694514
2006,24.4420855563871
2007,24.3000570068653
2008,24.3084265076173
2009,23.383764613421
2010,22.9777691828064
2011,22.2007524470149
2012,19.6582215986092
2013,19.369238341984
2014,25.329930718217
2015,26.2582990329493
2016,25.9950950896905
2017,29.2552994838486
2018,25.2226330969582
2019,31.2606230315523
2020,25.9484517494764
2021,27.4574656325234
